,feature_1,feature_2,feature_3,feature_4,feature_5
128,Alex Jones And The Dark New Media Are On Trial In Texas - BuzzFeed News,,web.archive.org,404,10128
129,Trump Will Issue An Executive Order To Protect Churches Involved In Political Activities - BuzzFeed News,,web.archive.org,404,10129
130,This Woman Has Created Brutally Honest Illustrations About Her Eating Disorder,,web.archive.org,404,10130
131,Colleges Are Warning Thousands Of Muslim International Students Not To Travel - BuzzFeed News,,web.archive.org,404,10131
132,Here's How Tech Companies Are Responding To The Women's Strike - BuzzFeed News,,web.archive.org,404,10132
133,A Love Letter To All My Gay Firsts - BuzzFeed News,,web.archive.org,404,10133
134,"Inmate Reportedly Convulsed, Jerked During Arkansas' Fourth And Final April Execution - BuzzFeed News",,web.archive.org,404,10134
135,These Are The Reasons For The Potential Writers Strike,,web.archive.org,404,10135
136,"Kellyanne Conway Just Told Everybody To ""Go Buy Ivanka’s Stuff” — Potentially Violating Ethics Law - BuzzFeed News",,web.archive.org,404,10136
137,"Republicans Want To Keep Popular Parts Of Obamacare, Despite Votes Against Them - BuzzFeed News",,web.archive.org,404,10137
138,"Trump’s Long History With The FBI: In 1981, He Offered To “Fully Cooperate” - BuzzFeed News",,web.archive.org,404,10138
139,Person Shot During Milo Speech Protest At University Of Washington - BuzzFeed News,,web.archive.org,404,10139
140,ACLU Seeks Records On Talk Of Trump's Business Conflicts - BuzzFeed News,,web.archive.org,404,10140
141,Hundreds Of 9/11 Victims And Their Family Members Are Suing Saudi Arabia - BuzzFeed News,,web.archive.org,404,10141
142,Everyone Is Noticing That Facebook Spaces Looks Familiar - BuzzFeed News,,web.archive.org,404,10142
143,These Beautiful Family Photos Prove There Is No One Way To Make A Family,,web.archive.org,404,10143
144,The Trump Administration Is Considering Separating Undocumented Parents From Their Children - BuzzFeed News,,web.archive.org,404,10144
145,"The ""Scandal"" Season 6 Premiere Hit Very Close To Home",,web.archive.org,404,10145
146,Dozens Of Girls Kidnapped By Boko Haram Have Been Released - BuzzFeed News,,web.archive.org,404,10146
147,Here's Why This Historically Black College Will Participate In Trump’s Inaugural Parade - BuzzFeed News,,web.archive.org,404,10147
148,This Fraternity And Its Brothers Are Facing More Than 850 Charges In A Teenager's Hazing Death - BuzzFeed News,,web.archive.org,404,10148
149,The Force Behind Minimum Wage Protests Is Slashing Its Spending - BuzzFeed News,,web.archive.org,404,10149
150,Mexicans Are Begging Their President To Cancel His Trip To The US - BuzzFeed News,,web.archive.org,404,10150
151,"Betsy DeVos's Brother Is Setting Up A Private Army For China, Sources Say - BuzzFeed News",,web.archive.org,404,10151
152,Canada Goose Is Having An IPO - BuzzFeed News,,web.archive.org,404,10152
153,Palantir Has Been Dumped By Another Blue-Chip Client - BuzzFeed News,,web.archive.org,404,10153
154,Snapchat Hits $34 Billion Valuation In First Day Of Trading - BuzzFeed News,,web.archive.org,404,10154
155,Uber Rallies Drivers Against Teamster Unionization Efforts With Podcasts And Pizza Parties - BuzzFeed News,,web.archive.org,404,10155
156,Iran Is The Reason Why The Trump White House Cares So Much About Yemen - BuzzFeed News,,web.archive.org,404,10156
157,Did Sean Spicer Get His Hitler Line From A Fox Business Interview - BuzzFeed News,,web.archive.org,404,10157
158,North Korea Launched A Missile But It Exploded Almost Immediately - BuzzFeed News,,web.archive.org,404,10158
159,This Kid Tried To Troll Samsung On Twitter And Got Totally Burned - BuzzFeed News,,web.archive.org,404,10159
160,"NBC, The No. 1 Network, Looks To Bolster Its Roster",,web.archive.org,404,10160
161,Uber And Google Are Fighting Over Very Old “Lidar” Technology. Here’s Why - BuzzFeed News,,web.archive.org,404,10161
162,California Scrambles To Make Repairs At Tallest Dam In The US After Evacuations Ordered - BuzzFeed News,,web.archive.org,404,10162
163,Republicans Want The EPA To Investigate Employees Using Encryption - BuzzFeed News,,web.archive.org,404,10163
164,"Federal Judge Halts Obamacare Transgender, Abortion-Related Protections Nationwide - BuzzFeed News",,web.archive.org,404,10164
165,Mexico Is Pissed That Israel's Prime Minister Tweeted Support For The Wall - BuzzFeed News,,web.archive.org,404,10165
166,This Mom Wrote Ivanka Trump A Letter Asking Her To Protect Her Transgender Daughter - BuzzFeed News,,web.archive.org,404,10166
167,Assistants parlementaires de Fillon: soupçons sur un nouvel emploi fictif - BuzzFeed News,,web.archive.org,404,10167
168,"DC Restaurant Owners Sue Trump, Saying His Hotel Has An Unfair Advantage - BuzzFeed News",,web.archive.org,404,10168
169,It Looks Like Someone Curated The Wikileaks Emails Before They Were Published - BuzzFeed News,,web.archive.org,404,10169
170,Trump Announces New Travel Ban Executive Order Is Coming Next Week - BuzzFeed News,,web.archive.org,404,10170
171,Uber's 'Greyball' Technology Helped It Sidestep Law Enforcement Around The World - BuzzFeed News,,web.archive.org,404,10171
172,Already Wary Republican Senators Are Worried About Their Party's Health Care Bill - BuzzFeed News,,web.archive.org,404,10172
173,DREAMer Detained For The Past Six Weeks Granted Release On Bond - BuzzFeed News,,web.archive.org,404,10173
174,Lady Gaga Released A New Song And People Are Freaking Out,,web.archive.org,404,10174
175,Here's What It's Like To Live Inside Donald Trump's Head,,web.archive.org,404,10175
176,The Guy Who Flashed Everyone At Eurovision Could Face Jail Time - BuzzFeed News,,web.archive.org,404,10176
177,NAACP Occupies Jeff Sessions' Office In Alabama To Protest Attorney General Nomination - BuzzFeed News,,web.archive.org,404,10177
178,Democrats In Congress Are Pleading With Trump To Count LGBT Population In The Census - BuzzFeed News,,web.archive.org,404,10178
179,The Man Who Taught Donald Trump To Pit Gay People Against Immigrants - BuzzFeed News,,web.archive.org,404,10179
180,"Google Says A YouTube Video Claiming Jews Admit ""White Genocide"" Isn't Hate Speech - BuzzFeed News",,web.archive.org,404,10180
181,Russian Government Agrees With Trump That NATO Is “Obsolete” - BuzzFeed News,,web.archive.org,404,10181
182,It's Not Just You: Advertising Insiders Think Pepsi's Kendall Jenner Ad Was A Disaster - BuzzFeed News,,web.archive.org,404,10182
183,"""Fate Of The Furious"" Just Destroyed Global Box Office Records - BuzzFeed News",,web.archive.org,404,10183
184,Obamacare Repeal Could Slash Protections For Native Americans - BuzzFeed News,,web.archive.org,404,10184
185,"Selena Gomez Finally Responded To The Controversy Around ""13 Reasons Why""",,web.archive.org,404,10185
186,The Marines Updated Its Social Media Policy After A Nude Photo Scandal - BuzzFeed News,,web.archive.org,404,10186
187,The US Paid Some Musicians To Tackle Terrorism In Kenya — Then They Fled To Europe - BuzzFeed News,,web.archive.org,404,10187
188,Yahoo Accused Of Mismanaging Millions That Were Meant For Humanitarian Aid - BuzzFeed News,,web.archive.org,404,10188
189,Conservative Criminal Justice Advocates Try To Change The System — Even In The Trump Era - BuzzFeed News,,web.archive.org,404,10189
190,"There's ""No Evidence"" To Suggest Russia Interfered In US Domestic Policy, Putin's Spokesperson Says - BuzzFeed News",,web.archive.org,404,10190
191,Pence Promises House Republicans Trump Will Fulfill Campaign Promises On Day One - BuzzFeed News,,web.archive.org,404,10191
192,McDonald's Is Shrinking - BuzzFeed News,,web.archive.org,404,10192
193,"Deportation Of Arizona Mother A Sign Of Things To Come Under Trump, Advocates Say - BuzzFeed News",,web.archive.org,404,10193
194,This Is What America Looked Like When Alcohol Was Illegal,,web.archive.org,404,10194
195,Here Come The Breitbart Books - BuzzFeed News,,web.archive.org,404,10195
196,Macron And Le Pen Advance To Runoff Vote In France’s Presidential Election - BuzzFeed News,,web.archive.org,404,10196
197,Venezuelan Foreign Minister Says The Country Is Trying To Keep From Turning Into Syria - BuzzFeed News,,web.archive.org,404,10197
198,The Self-Driving Lawsuit Against Uber Could Land Executives In Prison - BuzzFeed News,,web.archive.org,404,10198
199,Here's A Schedule Of What's Happening On Trump's Inauguration Day - BuzzFeed News,,web.archive.org,404,10199
200,US Intelligence Has Confirmed Parts Of The Dossier About Trump's Alleged Ties To Russia - BuzzFeed News,,web.archive.org,404,10200
201,"Betsy DeVos Is Under Fire After Saying Historically Black Colleges Are ""Pioneers"" Of School Choice - BuzzFeed News",,web.archive.org,404,10201
202,A Woman Said She Pursued Her Republican Congressman Because Her Daughter Has A Pre-Existing Condition - BuzzFeed News,,web.archive.org,404,10202
203,"This Couple Did A ""La La Land"" Engagement Shoot And It's Pretty Cute",,web.archive.org,404,10203
204,The Trump Administration Just Cut All Funding For The UN's Family Planning Agency - BuzzFeed News,,web.archive.org,404,10204
205,Obama Warns Inequality Could Derail Climate Change Efforts - BuzzFeed News,,web.archive.org,404,10205
206,A New Scam Targets People Who Have Lost Their Pets - BuzzFeed News,,web.archive.org,404,10206
207,ISIS Claims Responsibility For Attack On Istanbul Nightclub - BuzzFeed News,,web.archive.org,404,10207
208,People Are Sharing Fake Pictures Of Bikers For Trump Heading To The Inauguration - BuzzFeed News,,web.archive.org,404,10208
209,Inside The Investigation To Get To The Bottom Of Russia’s Role In The Election - BuzzFeed News,,web.archive.org,404,10209
210,Drake Finally Dropped His New Playlist And People Are Shook,,web.archive.org,404,10210
211,Texas Lawmakers Just Passed A Bill Banning Sanctuary Cities - BuzzFeed News,,web.archive.org,404,10211
212,Trump's Shadow Loomed Large As Merkel Urged The EU To Take Its Destiny Into Its Own Hands - BuzzFeed News,,web.archive.org,404,10212
213,Marvel Fired An Artist After He Snuck Religious And Political Symbols Into A New X-Men Comic - BuzzFeed News,,web.archive.org,404,10213
214,Hackers Tried To Break Into DNC Computers Right Before New Year’s Eve - BuzzFeed News,,web.archive.org,404,10214
215,Farmers Voted For Trump. Now They're Worried - BuzzFeed News,,web.archive.org,404,10215
216,"Trump Says ""Sometimes It's The Reverse,"" When Asked About Anti-Semitic Threats And Attacks - BuzzFeed News",,web.archive.org,404,10216
217,Facebook Director Peter Thiel Is Leading The Search For Trump's Top Antitrust Officials - BuzzFeed News,,web.archive.org,404,10217
218,This Is What It Was Like At The Campaign Kickoff For France's Extreme Right - BuzzFeed News,,web.archive.org,404,10218
219,Three People Have Been Charged Over That Massive Highway Fire In Atlanta - BuzzFeed News,,web.archive.org,404,10219
220,People Have Uploaded Private Information To Microsoft's Docs.com Service – And It's Totally Public - BuzzFeed News,,web.archive.org,404,10220
221,This College Student Just Got One Of The Largest Rape Settlements Ever - BuzzFeed News,,web.archive.org,404,10221
222,"Alongside Trump, Intel Reannounces Arizona Factory It Promised To Create During Obama Years - BuzzFeed News",,web.archive.org,404,10222
223,"Trump Says He Was Talking About A TV Show On Sweden, Okay - BuzzFeed News",,web.archive.org,404,10223
224,Death Toll In Massive Fire At Guatemala Shelter For Abuse Victims Rises To 38 - BuzzFeed News,,web.archive.org,404,10224
225,The Money Is Rolling In For Liberal Hyperpartisan Sites And It’s Tearing Some Of Them Apart - BuzzFeed News,,web.archive.org,404,10225
226,Gmail Can Now Write Replies For You - BuzzFeed News,,web.archive.org,404,10226
227,The US Has Banned Laptops And Tablets On Flights From Major Middle Eastern Airports - BuzzFeed News,,web.archive.org,404,10227
228,Republicans Walk Away From Jan. 27 Target To Repeal Obamacare - BuzzFeed News,,web.archive.org,404,10228
229,North Korea Launched Another Ballistic Missile Test - BuzzFeed News,,web.archive.org,404,10229
230,A Legal Fight In New York Could Cause Big Headaches For Uber - BuzzFeed News,,web.archive.org,404,10230
231,Syrian Refugees Say They’re Torn About President Donald Trump After US Strikes - BuzzFeed News,,web.archive.org,404,10231
232,The Trump Administration Is Proposing A Giant Round Of Tax Cuts - BuzzFeed News,,web.archive.org,404,10232
233,Critics Say A Republican Bill Would Open The Door To Genetic Discrimination - BuzzFeed News,,web.archive.org,404,10233
234,"Government Watchdog Groups Say Congressman's FOIA Letters Set ""A Troubling Precedent"" - BuzzFeed News",,web.archive.org,404,10234
235,The Photos From Samira Wiley And Lauren Morelli's Honeymoon Are Going To Make You Feel So Many Things,,web.archive.org,404,10235
236,Nearly 200 Google Employees Are Affected By Trump's Immigration Order - BuzzFeed News,,web.archive.org,404,10236
237,This Is How The World Is Celebrating 2017 (And The End Of Goddamn 2016) - BuzzFeed News,,web.archive.org,404,10237
238,The New Handbook For Cyberwar Is Being Written By Russia - BuzzFeed News,,web.archive.org,404,10238
239,How Tanzania Is Cracking Down On LGBT People — And Getting Away With It - BuzzFeed News,,web.archive.org,404,10239
240,The Online Revolt Of National Parks Has Created A Political Movement,,web.archive.org,404,10240
241,A Local Government Just Blocked Social Media In Kashmir For A Month - BuzzFeed News,,web.archive.org,404,10241
242,"Beloved Hippo Called Gustavito Likely Died From Inadequate Care At El Salvador Zoo, Not Brutal Beating - BuzzFeed News",,web.archive.org,404,10242
243,A Farewell To The Father Of The Latte - BuzzFeed News,,web.archive.org,404,10243
244,2016: The Year We Stopped Listening To Big Tech’s Favorite Excuse - BuzzFeed News,,web.archive.org,404,10244
245,Here's How Trump's White House Shut Down National Parks' Twitter - BuzzFeed News,,web.archive.org,404,10245
246,"Google's Eric Schmidt: Trump Administration Will Do ""Evil Things"" - BuzzFeed News",,web.archive.org,404,10246
247,Amazon's New Device Will Tell You How Your Ass Looks In Those Jeans - BuzzFeed News,,web.archive.org,404,10247
248,The Movie That Completely Upends The Obsessive Woman Archetype,,web.archive.org,404,10248
249,"""Pharma Bro"" Martin Shkreli Suspended From Twitter After Harassing A ""Teen Vogue"" Writer - BuzzFeed News",,web.archive.org,404,10249
250,"Gabrielle Giffords Told Congress To ""Face Your Constituents"" After Her Shooting Was Cited For Not Holding A Town Hall - BuzzFeed News",,web.archive.org,404,10250
251,44 Of The Most Iconic Pictures Of President Barack Obama,,web.archive.org,404,10251
252,Here Are The 19 Most Incredible Photos Of Super Bowl LI - BuzzFeed News,,web.archive.org,404,10252
253,Activists Prepare To Battle Trump Over Immigrants' Use Of Public Benefits - BuzzFeed News,,web.archive.org,404,10253
254,A Georgia Grandmother Faced Charges After She Helped A Black Voter - BuzzFeed News,,web.archive.org,404,10254
